tournament_id,tournament_name,competition,year,match_id,stage_name,stage,group_name,match_date,stadium_name,city_name,country_name,home_team_raw,away_team_raw,home_team,away_team,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,attendance,source
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-01,group stage,group stage,Group 1,1930-07-13,Estadio Pocitos,Montevideo,Uruguay,France,Mexico,France,Mexico,4,1,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-02,group stage,group stage,Group 4,1930-07-13,Estadio Gran Parque Central,Montevideo,Uruguay,United States,Belgium,United States,Belgium,3,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-03,group stage,group stage,Group 2,1930-07-14,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,Brazil,Serbia,Brazil,2,1,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-04,group stage,group stage,Group 3,1930-07-14,Estadio Pocitos,Montevideo,Uruguay,Romania,Peru,Romania,Peru,3,1,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-05,group stage,group stage,Group 1,1930-07-15,Estadio Gran Parque Central,Montevideo,Uruguay,Argentina,France,Argentina,France,1,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-06,group stage,group stage,Group 1,1930-07-16,Estadio Gran Parque Central,Montevideo,Uruguay,Chile,Mexico,Chile,Mexico,3,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-07,group stage,group stage,Group 2,1930-07-17,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,Bolivia,Serbia,Bolivia,4,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-08,group stage,group stage,Group 4,1930-07-17,Estadio Gran Parque Central,Montevideo,Uruguay,United States,Paraguay,United States,Paraguay,3,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-09,group stage,group stage,Group 3,1930-07-18,Estadio Centenario,Montevideo,Uruguay,Uruguay,Peru,Uruguay,Peru,1,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-10,group stage,group stage,Group 1,1930-07-19,Estadio Centenario,Montevideo,Uruguay,Chile,France,Chile,France,1,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-11,group stage,group stage,Group 1,1930-07-19,Estadio Centenario,Montevideo,Uruguay,Argentina,Mexico,Argentina,Mexico,6,3,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-12,group stage,group stage,Group 2,1930-07-20,Estadio Centenario,Montevideo,Uruguay,Brazil,Bolivia,Brazil,Bolivia,4,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-13,group stage,group stage,Group 4,1930-07-20,Estadio Centenario,Montevideo,Uruguay,Paraguay,Belgium,Paraguay,Belgium,1,0,0,0,0.0,0.0,,fjelstul
WC-1930,1930 FIFA Men's World Cup,mens,1930,M-1930-14,group stage,group stage,Group 3,1930-07-21,Estadio Centenario,Montevideo,Uruguay,Uruguay,Romania,Uruguay,Romania,4,0,0,0,0.0,0.0,,fjelstul
